video_id,track_id,total_headers_correct,first_half_correct,second_half_correct,match_id_correct,player_id_correct,review_priority_verbatim,ambiguous_reporting_correct,hallucination_free,safety_disclaimer_present,forbidden_terms_found,all_checks_passed
Header_h94,18084,True,True,True,True,True,True,True,True,True,,True
Header_h76,14979,True,True,True,True,True,True,True,True,True,,True
Header_h35,5160,True,True,True,True,True,True,True,True,True,,True
Non_Header_h47,27140,True,True,True,True,True,True,True,True,True,,True
Non_Header_h102,19719,True,True,True,True,True,True,True,True,True,,True
Header_h99,18721,True,True,True,True,True,True,True,True,True,,True
Header_h99,18709,True,True,True,True,True,True,True,True,True,,True
Header_h72,14279,True,True,True,True,True,True,True,True,True,,True
Header_h60,11766,True,True,True,True,True,True,True,True,True,,True
Non_Header_h71,34004,True,True,True,True,True,True,True,True,True,,True
Header_h37,5476,True,True,True,True,True,True,True,True,True,,True
Header_h26,3513,True,True,True,True,True,True,True,True,True,,True
Header_h84,16479,True,True,True,True,True,True,True,True,True,,True
Header_h86,16969,True,True,True,True,True,True,True,True,True,,True
Header_h88,17245,True,True,True,True,True,True,True,True,True,,True
Header_h88,17263,True,True,True,True,True,True,True,True,True,,True
Header_h88,17391,True,True,True,True,True,True,True,True,True,,True
Header_h88,17392,True,True,True,True,True,True,True,True,True,,True
Header_h91,17727,True,True,True,True,True,True,True,True,True,,True
Header_h31,4247,True,True,True,True,True,True,True,True,True,,True
Header_h94,18139,True,True,True,True,True,True,True,True,True,,True
Header_h97,18474,True,True,True,True,True,True,True,True,True,,True
Header_h97,18554,True,True,True,True,True,True,True,True,True,,True
Header_h99,18705,True,True,True,True,True,True,True,True,True,,True
Header_h28,3738,True,True,True,True,True,True,True,True,True,,True
Non_Header_h102,19598,True,True,True,True,True,True,True,True,True,,True
Header_h37,5647,True,True,True,True,True,True,True,True,True,,True
Header_h106,1433,True,True,True,True,True,True,True,True,True,,True
Non_Header_h20,21489,True,True,True,True,True,True,True,True,True,,True
Non_Header_h3,23181,True,True,True,True,True,True,True,True,True,,True
Non_Header_h37,24949,True,True,True,True,True,True,True,True,True,,True
Header_h101,583,True,True,True,True,True,True,True,True,True,,True
Non_Header_h5,27805,True,True,True,True,True,True,True,True,True,,True
Non_Header_h53,29111,True,True,True,True,True,True,True,True,True,,True
Non_Header_h57,30164,True,True,True,True,True,True,True,True,True,,True
Non_Header_h59,30500,True,True,True,True,True,True,True,True,True,,True
Non_Header_h6,30909,True,True,True,True,True,True,True,True,True,,True
Non_Header_h7,33601,True,True,True,True,True,True,True,True,True,,True
Non_Header_h70,33871,True,True,True,True,True,True,True,True,True,,True
Non_Header_h70,33939,True,True,True,True,True,True,True,True,True,,True
Header_h83,16337,True,True,True,True,True,True,True,True,True,,True
Header_h81,16049,True,True,True,True,True,True,True,True,True,,True
Header_h81,16038,True,True,True,True,True,True,True,True,True,,True
Header_h81,15914,True,True,True,True,True,True,True,True,True,,True
Header_h37,5649,True,True,True,True,True,True,True,True,True,,True
Header_h42,6896,True,True,True,True,True,True,True,True,True,,True
Header_h42,6998,True,True,True,True,True,True,True,True,True,,True
Header_h45,7687,True,True,True,True,True,True,True,True,True,,True
Header_h47,8404,True,True,True,True,True,True,True,True,True,,True
Header_h47,8502,True,True,True,True,True,True,True,True,True,,True
Header_h47,8572,True,True,True,True,True,True,True,True,True,,True
Header_h49,8896,True,True,True,True,True,True,True,True,True,,True
Header_h49,8945,True,True,True,True,True,True,True,True,True,,True
Header_h49,8990,True,True,True,True,True,True,True,True,True,,True
Header_h49,9092,True,True,True,True,True,True,True,True,True,,True
Header_h35,5085,True,True,True,True,True,True,True,True,True,,True
Header_h67,13122,True,True,True,True,True,True,True,True,True,,True
Header_h67,13258,True,True,True,True,True,True,True,True,True,,True
Header_h31,4304,True,True,True,True,True,True,True,True,True,,True
Header_h72,14305,True,True,True,True,True,True,True,True,True,,True
Header_h73,14418,True,True,True,True,True,True,True,True,True,,True
Header_h73,14419,True,True,True,True,True,True,True,True,True,,True
Header_h73,14486,True,True,True,True,True,True,True,True,True,,True
Header_h74,14576,True,True,True,True,True,True,True,True,True,,True
Header_h74,14646,True,True,True,True,True,True,True,True,True,,True
Header_h74,14661,True,True,True,True,True,True,True,True,True,,True
Header_h74,14669,True,True,True,True,True,True,True,True,True,,True
Header_h76,14962,True,True,True,True,True,True,True,True,True,,True
Header_h1,75,True,True,True,True,True,True,True,True,True,,True
Header_h77,15149,True,True,True,True,True,True,True,True,True,,True
Header_h80,15838,True,True,True,True,True,True,True,True,True,,True
Header_h1,8,True,True,True,True,True,True,True,True,True,,True
